Grade,Occupation,Tier1ID,RequireTier1,Tier2ID,RequireTier2,Tier3ID,RequireTier3
3,1,5610001,3,5610003,5,5910001,100000
4,1,5610001,5,5610003,7,5910001,250000
5,1,5610001,7,5610003,9,5910001,500000
3,2,5610001,3,5610004,5,5910001,100000
4,2,5610001,5,5610004,7,5910001,250000
5,2,5610001,7,5610004,9,5910001,500000
3,3,5610002,3,5610005,5,5910001,100000
4,3,5610002,5,5610005,7,5910001,250000
5,3,5610002,7,5610005,9,5910001,500000
3,4,5610002,3,5610006,5,5910001,100000
4,4,5610002,5,5610006,7,5910001,250000
5,4,5610002,7,5610006,9,5910001,500000
3,5,5610002,3,5610007,5,5910001,100000
4,5,5610002,5,5610007,7,5910001,250000
5,5,5610002,7,5610007,9,5910001,500000
